alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.59,1.0768093228065019,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.591,1.0797586025837382,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.592,1.0827151021473131,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.593,1.085678856931814,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.594,1.0886499026333387,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.595,1.0916282752120747,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.596,1.0946140108949118,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.597,1.0976071461780845,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.598,1.1006077178298501,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.599,1.103615762893198,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.6,1.106631318688593,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.601,1.1096544228167555,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.602,1.1126851131614726,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.603,1.1157234278924477,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.604,1.1187694054681843,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.605,1.1218230846389072,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.606,1.1248845044495208,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.607,1.1279537042426035,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.608,1.1310307236614427,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.609,1.1341156026531054,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.61,1.137208381471552,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.611,1.140309100680786,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.612,1.1434178011580478,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.613,1.1465345240970475,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.614,1.1496593110112394,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.615,1.1527922037371412,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.616,1.1559332444376935,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.617,1.1590824756056655,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.618,1.1622399400671037,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.619,1.165405680984826,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
